pagecount_desktop_views,year,month,pagecount_mobile_views,pageview_desktop_views,pageview_mobile_views,pagecount_all_views,pageview_all_views
2998331524,2007,12,0,0,0,2998331524,0
4930902570,2008,1,0,0,0,4930902570,0
4818393763,2008,2,0,0,0,4818393763,0
4955405809,2008,3,0,0,0,4955405809,0
5159162183,2008,4,0,0,0,5159162183,0
5584691092,2008,5,0,0,0,5584691092,0
5712104279,2008,6,0,0,0,5712104279,0
5306302874,2008,7,0,0,0,5306302874,0
5140155519,2008,8,0,0,0,5140155519,0
5479533823,2008,9,0,0,0,5479533823,0
5679440782,2008,10,0,0,0,5679440782,0
5415832071,2008,11,0,0,0,5415832071,0
5211708451,2008,12,0,0,0,5211708451,0
5802681551,2009,1,0,0,0,5802681551,0
5547320860,2009,2,0,0,0,5547320860,0
6295159057,2009,3,0,0,0,6295159057,0
5988817321,2009,4,0,0,0,5988817321,0
6267516733,2009,5,0,0,0,6267516733,0
5818924182,2009,6,0,0,0,5818924182,0
5801646978,2009,7,0,0,0,5801646978,0
5790850384,2009,8,0,0,0,5790850384,0
4057515768,2009,9,0,0,0,4057515768,0
6016107147,2009,10,0,0,0,6016107147,0
5768486910,2009,11,0,0,0,5768486910,0
5426505977,2009,12,0,0,0,5426505977,0
5703465285,2010,1,0,0,0,5703465285,0
5762451418,2010,2,0,0,0,5762451418,0
6661347946,2010,3,0,0,0,6661347946,0
6618552152,2010,4,0,0,0,6618552152,0
6410578775,2010,5,0,0,0,6410578775,0
4898035014,2010,6,0,0,0,4898035014,0
5296177638,2010,7,0,0,0,5296177638,0
7381346660,2010,8,0,0,0,7381346660,0
7546488744,2010,9,0,0,0,7546488744,0
10172844562,2010,10,0,0,0,10172844562,0
6948678354,2010,11,0,0,0,6948678354,0
7001952100,2010,12,0,0,0,7001952100,0
7568511227,2011,1,0,0,0,7568511227,0
6906248849,2011,2,0,0,0,6906248849,0
7326545928,2011,3,0,0,0,7326545928,0
6835492088,2011,4,0,0,0,6835492088,0
7009799378,2011,5,0,0,0,7009799378,0
6536675534,2011,6,0,0,0,6536675534,0
6571730164,2011,7,0,0,0,6571730164,0
6514500361,2011,8,0,0,0,6514500361,0
5837738935,2011,9,0,0,0,5837738935,0
6974424665,2011,10,0,0,0,6974424665,0
7507641641,2011,11,0,0,0,7507641641,0
6396357939,2011,12,0,0,0,6396357939,0
7808477339,2012,1,0,0,0,7808477339,0
7530127141,2012,2,0,0,0,7530127141,0
7358543625,2012,3,0,0,0,7358543625,0
7220029422,2012,4,0,0,0,7220029422,0
7784479302,2012,5,0,0,0,7784479302,0
7524265988,2012,6,0,0,0,7524265988,0
7819376527,2012,7,0,0,0,7819376527,0
7885641059,2012,8,0,0,0,7885641059,0
7913689733,2012,9,0,0,0,7913689733,0
8379960050,2012,10,0,0,0,8379960050,0
8219987195,2012,11,0,0,0,8219987195,0
8033826900,2012,12,0,0,0,8033826900,0
9126210673,2013,1,0,0,0,9126210673,0
8100597857,2013,2,0,0,0,8100597857,0
8701419671,2013,3,0,0,0,8701419671,0
8049296729,2013,4,0,0,0,8049296729,0
8089099883,2013,5,0,0,0,8089099883,0
7759959725,2013,6,0,0,0,7759959725,0
8237301982,2013,7,0,0,0,8237301982,0
9306122925,2013,8,0,0,0,9306122925,0
9985326806,2013,9,0,0,0,9985326806,0
10775158269,2013,10,0,0,0,10775158269,0
10414877805,2013,11,0,0,0,10414877805,0
7102459747,2013,12,0,0,0,7102459747,0
7026531269,2014,1,0,0,0,7026531269,0
6718243109,2014,2,0,0,0,6718243109,0
7464128273,2014,3,0,0,0,7464128273,0
7216245221,2014,4,0,0,0,7216245221,0
7543277646,2014,5,0,0,0,7543277646,0
6577352648,2014,6,0,0,0,6577352648,0
6761059566,2014,7,0,0,0,6761059566,0
6687313714,2014,8,0,0,0,6687313714,0
7564600999,2014,9,0,0,0,7564600999,0
6577533128,2014,10,3091546685,0,0,9669079813,0
6153537606,2014,11,3027489668,0,0,9181027274,0
5830332248,2014,12,3278950021,0,0,9109282269,0
6103767055,2015,1,3485302091,0,0,9589069146,0
5602710439,2015,2,3091534479,0,0,8694244918,0
6346602713,2015,3,3330832588,0,0,9677435301,0
6198945657,2015,4,3222089917,0,0,9421035574,0
6323801814,2015,5,3334069483,0,0,9657871297,0
5165413640,2015,6,3038162463,0,0,8203576103,0
